title,pr_number,user_facing_impact,category,decision,reason
[FEAT] Support DeepSeek-V3.2 with `FULL_DECODE_ONLY` mode (#4706),4706,[FEAT] Support DeepSeek-V3.2 with `FULL_DECODE_ONLY` mode,Highlights,Include,Major feature
Fixed the performance degradation issue in post-processing in speculative decoding scenarios. (#4849),4849,Fixed the performance degradation issue in post-processing in speculative decoding scenarios.,Highlights,Include,Major feature
[Bugfix]  Support for mlapo in deepseekv3.1 w4a8 (#4828),4828,[Bugfix]  Support for mlapo in deepseekv3.1 w4a8,Hardware and Operator Support,Include,Operator/hardware support
[Feature] Support npuhraph_ex backend (#4700),4700,[Feature] Support npuhraph_ex backend,Features,Include,New feature
[perf][dsv3.2][async_scheduling] improve dsv3.2 performance by eliminating HD synchronization (#4805),4805,[perf][dsv3.2][async_scheduling] improve dsv3.2 performance by eliminating HD synchronization,Performance,Include,Performance optimization
[BugFix][main] Adapted Qwen3-Next-MTP to chunked prefill (#4770),4770,[BugFix][main] Adapted Qwen3-Next-MTP to chunked prefill,Highlights,Include,Major feature
Update patch doc (#4869),4869,Update patch doc,Others,Include,Miscellaneous
Remove COMPILE_CUSTOM_KERNELS env (#4864),4864,Remove COMPILE_CUSTOM_KERNELS env,Hardware and Operator Support,Include,Operator/hardware support
Remove VLLM_ASCEND_ENABLE_TOPK_TOPP_OPTIMIZATION (#4860),4860,Remove VLLM_ASCEND_ENABLE_TOPK_TOPP_OPTIMIZATION,Performance,Include,Performance optimization
Remove useless env (#4858),4858,Remove useless env,Others,Include,Miscellaneous
add DeepSeek-R1 tutorial. (#4666),4666,add DeepSeek-R1 tutorial.,Documentation,Include,Model tutorial
[Doc]Add tutorial document for qwen-VL-Dense (#3516),3516,[Doc]Add tutorial document for qwen-VL-Dense,Documentation,Include,Documentation update
[Doc] Add local running multi-node nightly test case guide (#4884),4884,[Doc] Add local running multi-node nightly test case guide,Documentation,Include,Documentation update
[E2E] Remove unused PD-disaggreate scripts in E2E test. (#4837),4837,[E2E] Remove unused PD-disaggreate scripts in E2E test.,Others,Include,Miscellaneous
[E2E] Refactor the e2e testcases. (#4789),4789,[E2E] Refactor the e2e testcases.,Others,Include,Miscellaneous
[E2E] Optimize nightly testcase. (#4886),4886,[E2E] Optimize nightly testcase.,Performance,Include,Performance optimization
[feat] mlapo add bf16 no_quant support (#4852),4852,[feat] mlapo add bf16 no_quant support,Hardware and Operator Support,Include,Operator/hardware support
cleanup useless torchair logic (#4856),4856,cleanup useless torchair logic,Ignore,Ignore,Internal/CI/test change
[Feat] Flashcomm2 use o_shared linear (#4188),4188,[Feat] Flashcomm2 use o_shared linear,Performance,Include,Performance optimization
[OPS] support triton causal_conv1d_fn ops (#4119),4119,[OPS] support triton causal_conv1d_fn ops,Hardware and Operator Support,Include,Operator/hardware support
【Bugfix】bugfix_for_bmm_transpose (#4899),4899,【Bugfix】bugfix_for_bmm_transpose,Others,Include,Miscellaneous
[Bugfix] Fix the bug in sfa-cp under multi-DP scenarios. (#4850),4850,[Bugfix] Fix the bug in sfa-cp under multi-DP scenarios.,Hardware and Operator Support,Include,Operator/hardware support
[feat] apply flashcomm1 on bailing (#4868),4868,[feat] apply flashcomm1 on bailing,Performance,Include,Performance optimization
[Bugfix] support mtp kv transfer and pp partition by hand in kv transfer (#4892),4892,[Bugfix] support mtp kv transfer and pp partition by hand in kv transfer,Highlights,Include,Major feature
[doc]  Add Qwen2.5 tutorials (#4636),4636,[doc]  Add Qwen2.5 tutorials,Documentation,Include,Documentation update
[Fix] Delete redundant variable (#4903),4903,[Fix] Delete redundant variable,Others,Include,Bug fix
[Fusion] normalize fusion naming and enable e2e test (#4693),4693,[Fusion] normalize fusion naming and enable e2e test,Performance,Include,Operator fusion
[Bugfix] Prevent engine hang during KVCacheSendingThread startup (#4754),4754,[Bugfix] Prevent engine hang during KVCacheSendingThread startup,Others,Include,Bug fix
[CI] speed up ut (#4901),4901,[CI] speed up ut,Ignore,Ignore,Internal/CI/test change
Remove mindie_turbo (#4896),4896,Remove mindie_turbo,Others,Include,Miscellaneous
[Doc] Update structured output doc with upstream link (#4015),4015,[Doc] Update structured output doc with upstream link,Documentation,Include,Documentation update
Refactor CI workflow (#4912),4912,Refactor CI workflow,Others,Include,Miscellaneous
[CI] Cancel whl build when submitting a new commit (#4925),4925,[CI] Cancel whl build when submitting a new commit,Ignore,Ignore,Internal/CI/test change
[CI]cleanup e2e test (#4800),4800,[CI]cleanup e2e test,Ignore,Ignore,Internal/CI/test change
[Doc] Update tutorial index (#4920),4920,[Doc] Update tutorial index,Documentation,Include,Documentation update
[bugfix][refactor] fix recompute_scheduler break with vllm 0.12.0 & support async scheduling & refactor recompute_scheduler.py (#4895),4895,[bugfix][refactor] fix recompute_scheduler break with vllm 0.12.0 & support async scheduling & refactor recompute_scheduler.py,Ignore,Ignore,Internal/CI/test change
[Performance] Pre-issued exponential distribution operator. (#4908),4908,[Performance] Pre-issued exponential distribution operator.,Hardware and Operator Support,Include,Operator/hardware support
[CI] refect e2e test (#4799),4799,[CI] refect e2e test,Ignore,Ignore,Internal/CI/test change
[MoE][TorchAir] Remove FusedMoEState (#4927),4927,[MoE][TorchAir] Remove FusedMoEState,Performance,Include,Operator fusion
[main][Bugfix] Remove the ZMQ communication setup on the D node (#4926),4926,[main][Bugfix] Remove the ZMQ communication setup on the D node,Others,Include,Bug fix
[Feat] Add custom Embedding tensor model parallel (#2616),2616,[Feat] Add custom Embedding tensor model parallel,Features,Include,New feature
[Bugfix] bugfix for moe_mlp (#4822),4822,[Bugfix] bugfix for moe_mlp,Others,Include,Bug fix
BugFix: Resolve PolicyFlashlb warm up function attribute error (#4741),4741,BugFix: Resolve PolicyFlashlb warm up function attribute error,Others,Include,Miscellaneous
[CI] fix light test (#4954),4954,[CI] fix light test,Ignore,Ignore,Internal/CI/test change
【doc】Add model feature matrix (#4950),4950,【doc】Add model feature matrix,Hardware and Operator Support,Include,Operator/hardware support
[Doc] Upgrade outdated doc (#4957),4957,[Doc] Upgrade outdated doc,Documentation,Include,Documentation update
update qwen2.5vl readme (#4938),4938,update qwen2.5vl readme,Documentation,Include,Documentation update
vllm-ascend support Ascend950 with Qwen dense model. (#4228),4228,vllm-ascend support Ascend950 with Qwen dense model.,Hardware and Operator Support,Include,Operator/hardware support
[usability]Modify the default value of the protocol to ascend (#4959),4959,[usability]Modify the default value of the protocol to ascend,Others,Include,Miscellaneous
[Nightly] Remove gen_ranktable logic (#4941),4941,[Nightly] Remove gen_ranktable logic,Others,Include,Miscellaneous
[Feature] model_runner refactor (#4764),4764,[Feature] model_runner refactor,Features,Include,New feature
[doc][main] Correct mistakes in doc (#4945),4945,[doc][main] Correct mistakes in doc,Documentation,Include,Documentation update
[CI] Add mtp_proposer ut (#4397),4397,[CI] Add mtp_proposer ut,Ignore,Ignore,Internal/CI/test change
[Bugfix] Pass vllm_config to kv_connector_no_forward in NPUModelRunner (#4970),4970,[Bugfix] Pass vllm_config to kv_connector_no_forward in NPUModelRunner,Others,Include,Bug fix
[Bugfix] fix eagle proposer (#4971),4971,[Bugfix] fix eagle proposer,Highlights,Include,Major feature
[bugfix] asyncscheduler bug fix (#4968),4968,[bugfix] asyncscheduler bug fix,Performance,Include,Performance optimization
[doc][main] Correct more doc mistakes (#4958),4958,[doc][main] Correct more doc mistakes,Documentation,Include,Documentation update
"Revert ""[Bugfix] support mtp kv transfer and pp partition by hand in kv transfer (#4892)"" (#4892)",4892,"Revert ""[Bugfix] support mtp kv transfer and pp partition by hand in kv transfer",Ignore,Ignore,Internal/CI/test change
[perf] replace all_reduce for kv_consumer and support different num_tokens among all ranks (#4983),4983,[perf] replace all_reduce for kv_consumer and support different num_tokens among all ranks,Performance,Include,Performance optimization
[CI] Pull latest vllm-ascend src before tests (#4988),4988,[CI] Pull latest vllm-ascend src before tests,Ignore,Ignore,Internal/CI/test change
add release note for 0.12.0 (#4995),4995,add release note for 0.12.0,Others,Include,Miscellaneous
[Fix] Fixes issues in MTP with async scheduling and ACL graph (#4963),4963,[Fix] Fixes issues in MTP with async scheduling and ACL graph,Highlights,Include,Major feature
[Perf]enable prefill flashcommon3 (#4065),4065,[Perf]enable prefill flashcommon3,Performance,Include,Performance optimization
[CI] CI refactor (#4928),4928,[CI] CI refactor,Ignore,Ignore,Internal/CI/test change
add ut for model runner (#4991),4991,add ut for model runner,Others,Include,Miscellaneous
[Misc] Update pooling example (#5002),5002,[Misc] Update pooling example,Highlights,Include,Major feature
[CI][Bugfix] Fix scheduleroutput has no attr get error in prompt logprobs (#4998),4998,[CI][Bugfix] Fix scheduleroutput has no attr get error in prompt logprobs,Ignore,Ignore,Internal/CI/test change
Add Qwen3-Next tutorials (#4607),4607,Add Qwen3-Next tutorials,Documentation,Include,Model tutorial
[Refactor]3/N Refactor mla_v1.py & extract mla_cp (#4933),4933,[Refactor]3/N Refactor mla_v1.py & extract mla_cp,Ignore,Ignore,Internal/CI/test change
[main][BugFix] Fixed an accuracy bug of Qwen3-next-MTP when batched inferring (#4932),4932,[main][BugFix] Fixed an accuracy bug of Qwen3-next-MTP when batched inferring,Highlights,Include,Major feature
Bump actions/upload-artifact from 5 to 6 (#5014),5014,Bump actions/upload-artifact from 5 to 6,Ignore,Ignore,Internal/CI/test change
[bugfix] Fix dummy-run and multi-node issues in MoE routing and MTP (#4947),4947,[bugfix] Fix dummy-run and multi-node issues in MoE routing and MTP,Highlights,Include,Major feature
[Doc ] Supplement kvpool user guide (#5013),5013,[Doc ] Supplement kvpool user guide,Documentation,Include,Documentation update
[Test]update accuracy test of models (#4911),4911,[Test]update accuracy test of models,Others,Include,Miscellaneous
"[Bugfix] Fix the bug in initializing the shared_weight communication domain in sfa-cp, and fix the mtp weight load in pp>1 situation (#4913)",4913,"[Bugfix] Fix the bug in initializing the shared_weight communication domain in sfa-cp, and fix the mtp weight load in pp>1 situation",Highlights,Include,Major feature
[Bugfix] Add support for PP intermediate value types in graph mode (#4902),4902,[Bugfix] Add support for PP intermediate value types in graph mode,Features,Include,New feature
[Bugfix] qwen3-vl-235b-w8a8 load weight ERROR when start service (#4292),4292,[Bugfix] qwen3-vl-235b-w8a8 load weight ERROR when start service,Highlights,Include,Model support
update release note for suffix decoding (#5009),5009,update release note for suffix decoding,Highlights,Include,Major feature
[Graph][Fusion] Add AddRMSNorm(with bias) and Quant Fusion Pattern (#5011),5011,[Graph][Fusion] Add AddRMSNorm(with bias) and Quant Fusion Pattern,Performance,Include,Operator fusion
[UT]add pcp dcp ut (#4949),4949,[UT]add pcp dcp ut,Ignore,Ignore,Internal/CI/test change
[Bugfix] fix the incorrect use of python's sum on tensors. (#4655),4655,[Bugfix] fix the incorrect use of python's sum on tensors.,Others,Include,Bug fix
[Misc] Upgrade vllm hash to 12_14 (#5000),5000,[Misc] Upgrade vllm hash to 12_14,Others,Include,Miscellaneous
[CI] Delete deepseek3.2-exp nightly test (#5028),5028,[CI] Delete deepseek3.2-exp nightly test,Others,Include,Miscellaneous
[E2E] Collect test run time. (#5018),5018,[E2E] Collect test run time.,Others,Include,Miscellaneous
[doc]Modify quantization tutorials (#5026),5026,[doc]Modify quantization tutorials,Documentation,Include,Documentation update
[KVPool]Fix PP get bug (#5007),5007,[KVPool]Fix PP get bug,Others,Include,Miscellaneous
[Attention] Temporarily add back pa for small batch sizes. (#4765),4765,[Attention] Temporarily add back pa for small batch sizes.,Others,Include,Miscellaneous
[Cleanup] Remove unused attn_metadata parameter from Proposer classes (#4862),4862,[Cleanup] Remove unused attn_metadata parameter from Proposer classes,Ignore,Ignore,Internal/CI/test change
[bugfix] [main] Fix KV cache query inconsistency across different TP ranks in the KV Pool (#5030),5030,[bugfix] [main] Fix KV cache query inconsistency across different TP ranks in the KV Pool,Highlights,Include,Major feature
[Bugfix] Fix precision issues in moe_mlp (vllm-ascend main) (#5025),5025,[Bugfix] Fix precision issues in moe_mlp (vllm-ascend main),Others,Include,Bug fix
[Bugfix] Fix the attn_metadata is None (#5038),5038,[Bugfix] Fix the attn_metadata is None,Others,Include,Bug fix
[Misc] Upgrade vllm commit hash to 1215 (#5029),5029,[Misc] Upgrade vllm commit hash to 1215,Others,Include,Miscellaneous
[Fix]Revert temporary skip on mtp1/mtp2 correctness tests (aclgraph fix) (#5039),5039,[Fix]Revert temporary skip on mtp1/mtp2 correctness tests (aclgraph fix),Ignore,Ignore,Internal/CI/test change
[Core][Worker] Add UCMConnector for KV Cache Offloading (#4411),4411,[Core][Worker] Add UCMConnector for KV Cache Offloading,Highlights,Include,Major feature
[Bugfix] dynamic eplb does't use fused_alltoall (#4919),4919,[Bugfix] dynamic eplb does't use fused_alltoall,Highlights,Include,Major feature
Bump actions/checkout from 4 to 6 (#5015),5015,Bump actions/checkout from 4 to 6,Ignore,Ignore,Internal/CI/test change
[Feat] Refactor rejection sampler (#4975),4975,[Feat] Refactor rejection sampler,Highlights,Include,Major feature
[bugfix] Fix mooncake kvpool accuracy issue (#4976),4976,[bugfix] Fix mooncake kvpool accuracy issue,Highlights,Include,Major feature
[Refactor] Remove the process patches of Qwen2.5-VL and Qwen2.5-Omni (#5035),5035,[Refactor] Remove the process patches of Qwen2.5-VL and Qwen2.5-Omni,Ignore,Ignore,Internal/CI/test change
[Doc] Upgrade some outdated doc (#5062),5062,[Doc] Upgrade some outdated doc,Documentation,Include,Documentation update
[ModelRunner] apply_grammer uses vllm function (#4974),4974,[ModelRunner] apply_grammer uses vllm function,Others,Include,Miscellaneous
[Bugfix] fix fastapi version (#5047),5047,[Bugfix] fix fastapi version,Others,Include,Bug fix
[BugFix]Fix FIA input err in DSv3.1 (#5059),5059,[BugFix]Fix FIA input err in DSv3.1,Hardware and Operator Support,Include,Operator/hardware support
[Doc] Add user guide of speculative decoding (#5074),5074,[Doc] Add user guide of speculative decoding,Highlights,Include,Major feature
Add release note for v0.11.0 (#4918),4918,Add release note for v0.11.0,Others,Include,Miscellaneous
[bugfix] matmul_allreduce_add_rmsnorm aclnn interface (#5082),5082,[bugfix] matmul_allreduce_add_rmsnorm aclnn interface,Others,Include,Bug fix
【Feature】refactor npu_modelrunner for profile_run (#4993),4993,【Feature】refactor npu_modelrunner for profile_run,Others,Include,Miscellaneous
Add a Mooncake installation tutorial for kv pool and update Mooncake installation tutorial (#5069),5069,Add a Mooncake installation tutorial for kv pool and update Mooncake installation tutorial,Highlights,Include,Major feature
[Bugfix] EPLB nightly deepseek (#5095),5095,[Bugfix] EPLB nightly deepseek,Highlights,Include,Major feature
[Nightly] Upgrade single node test to latest main (#5101),5101,[Nightly] Upgrade single node test to latest main,Others,Include,Miscellaneous
[Nightly][BugFix] Install triton for nightly e2e op test. (#5096),5096,[Nightly][BugFix] Install triton for nightly e2e op test.,Ignore,Ignore,Internal/CI/test change
[Feat] Support async_scheduler and disable_padded_drafter_batch in eagle (#4893),4893,[Feat] Support async_scheduler and disable_padded_drafter_batch in eagle,Highlights,Include,Major feature
[bugfix] fix mtp accept rate (#5093),5093,[bugfix] fix mtp accept rate,Highlights,Include,Major feature
Upgrade vllm commit hash to 1216 (#5053),5053,Upgrade vllm commit hash to 1216,Others,Include,Miscellaneous
[Fusion] [Graph] Add qknorm rope fusion operator (#4711),4711,[Fusion] [Graph] Add qknorm rope fusion operator,Performance,Include,Operator fusion
[UT]add the UT of pcp and dcp in the attention_cp file (#5054),5054,[UT]add the UT of pcp and dcp in the attention_cp file,Ignore,Ignore,Internal/CI/test change
[Bugfix] Fix DeepSeek FIA error in async_scheduling with mtp (#5046),5046,[Bugfix] Fix DeepSeek FIA error in async_scheduling with mtp,Highlights,Include,Major feature
[feat]pd disaggregated support cross-machine (#5008),5008,[feat]pd disaggregated support cross-machine,Features,Include,New feature
[CI] Fix UT (#5106),5106,[CI] Fix UT,Ignore,Ignore,Internal/CI/test change
[main] rename device type (#5099),5099,[main] rename device type,Others,Include,Miscellaneous
[main][doc] Instructions for using permissions added to docker (#5092),5092,[main][doc] Instructions for using permissions added to docker,Documentation,Include,Documentation update
[Pangu][MoE] Remove PanguProMoEV1 related code (#5088),5088,[Pangu][MoE] Remove PanguProMoEV1 related code,Highlights,Include,Model support
[model] Support PanguUltraMoE (#4615),4615,[model] Support PanguUltraMoE,Highlights,Include,Model support
[UT] add pcp&dcp UT for mla_cp (#4953),4953,[UT] add pcp&dcp UT for mla_cp,Ignore,Ignore,Internal/CI/test change
[BugFix] Fix mooncake bug in PCP scenario (#5055),5055,[BugFix] Fix mooncake bug in PCP scenario,Highlights,Include,Major feature
[Bugfix][MoE] Remove All2All in w4a8_dynamic (#4977),4977,[Bugfix][MoE] Remove All2All in w4a8_dynamic,Others,Include,Bug fix
Fix a data conversion bug introduced by commit 3b7eb51 in main#4655 (#5115),4655,Fix a data conversion bug introduced by commit 3b7eb51 in main#4655,Others,Include,Miscellaneous
[Refactor] 4/N Distinguish the branches based on the applicable scenarios of PA and FIA Ops. (#5081),5081,[Refactor] 4/N Distinguish the branches based on the applicable scenarios of PA and FIA Ops.,Ignore,Ignore,Internal/CI/test change
[Bugfix]delele profile_run in model_runner (#5122),5122,[Bugfix]delele profile_run in model_runner,Others,Include,Bug fix
[Fix] Synchronize the host query_start_loc with device values to prevent shape mismatches (#5134),5134,[Fix] Synchronize the host query_start_loc with device values to prevent shape mismatches,Others,Include,Bug fix
fix profile run for vl model (#5136),5136,fix profile run for vl model,Others,Include,Miscellaneous
enable npugraph_ex (#5120),5120,enable npugraph_ex,Highlights,Include,Major feature
[Doc] add qwen3 reranker (#5086),5086,[Doc] add qwen3 reranker,Documentation,Include,Documentation update
[UT] Add model_runner pcp related UTs (#4951),4951,[UT] Add model_runner pcp related UTs,Ignore,Ignore,Internal/CI/test change
qwen3_next add triton ops : fused_qkvzba_split_reshape (#4788),4788,qwen3_next add triton ops : fused_qkvzba_split_reshape,Performance,Include,Operator fusion
[test] add w4a8 accuracy case (#5110),5110,[test] add w4a8 accuracy case,Others,Include,Miscellaneous
[feat] proxy support elastic scaling (#5063),5063,[feat] proxy support elastic scaling,Features,Include,New feature
"[Fix] Fix DeepSeek V3.2 ""no attr"" error (#5147)",5147,"[Fix] Fix DeepSeek V3.2 ""no attr"" error",Highlights,Include,Model support
[UT]Ut for function cumsum_group_list  in moe_mlp (ref #5025) (#5036),5025,[UT]Ut for function cumsum_group_list  in moe_mlp (ref #5025),Ignore,Ignore,Internal/CI/test change
[UT] Add mooncake ut test (#5080),5080,[UT] Add mooncake ut test,Ignore,Ignore,Internal/CI/test change
fixed fused alltoall execute all reduce (#5109),5109,fixed fused alltoall execute all reduce,Performance,Include,Operator fusion
Qwen3-Next：Update the gpu-memory-utilization parameter to 0.7 (#5129),5129,Qwen3-Next：Update the gpu-memory-utilization parameter to 0.7,Highlights,Include,Model support
[Bugfix] fix pipeline parallelism bug introduced by async-scheduling refactor work (#4973),4973,[Bugfix] fix pipeline parallelism bug introduced by async-scheduling refactor work,Performance,Include,Performance optimization
implement model runner v2 basic framework (#5051),5051,implement model runner v2 basic framework,Features,Include,New feature
fix: use batch_matmul_transpose operator in MLA _v_up_proj for better performance (#5142),5142,fix: use batch_matmul_transpose operator in MLA _v_up_proj for better performance,Hardware and Operator Support,Include,Operator/hardware support
Nominate new maintainers @zzzzwwjj @realliujiaxu @LCAIZJ (#5152),5152,Nominate new maintainers @zzzzwwjj @realliujiaxu @LCAIZJ,Others,Include,Miscellaneous
feat: implement high-performance Triton kernels for rejection sampling (#4830),4830,feat: implement high-performance Triton kernels for rejection sampling,Hardware and Operator Support,Include,Operator/hardware support
"[Feat] Support MLP_TP feature, exclude MOE layer (#4999)",4999,"[Feat] Support MLP_TP feature, exclude MOE layer",Features,Include,New feature
[Graph][Fusion]Add new pattern for AddRmsnormQuant with SP. (#5077),5077,[Graph][Fusion]Add new pattern for AddRmsnormQuant with SP.,Performance,Include,Operator fusion
[Fix] Refines decode mode padding condition for uniform queries (#5164),5164,[Fix] Refines decode mode padding condition for uniform queries,Others,Include,Bug fix
fix vl pd smoke error (#5103),5103,fix vl pd smoke error,Others,Include,Miscellaneous
[BugFix]Fix incorrect get_current_vllm_config (#5121),5121,[BugFix]Fix incorrect get_current_vllm_config,Others,Include,Bug fix
[Nightly]  Avoid max_model_len being smaller than the decoder prompt to prevent single-node-accuray-tests from failing (#5174),5174,[Nightly]  Avoid max_model_len being smaller than the decoder prompt to prevent single-node-accuray-tests from failing,Others,Include,Miscellaneous
[Doc] Refact benchmark doc (#5173),5173,[Doc] Refact benchmark doc,Documentation,Include,Documentation update
[Bugfix] Fix in_profile_run in mtp_proposer dummy_run (#5165),5165,[Bugfix] Fix in_profile_run in mtp_proposer dummy_run,Highlights,Include,Major feature
[Doc][P/D] Fix MooncakeConnector's name (#5172),5172,[Doc][P/D] Fix MooncakeConnector's name,Highlights,Include,Major feature
"[BugFix] Fix top_p,top_k issue with EAGLE and add top_p,top_k in EAGLE e2e (#5131)",5131,"[BugFix] Fix top_p,top_k issue with EAGLE and add top_p,top_k in EAGLE e2e",Highlights,Include,Major feature
[bugfix] Use FUSED_MC2 MoE comm path for the op `dispatch_ffn_combine` (#5156),5156,[bugfix] Use FUSED_MC2 MoE comm path for the op `dispatch_ffn_combine`,Performance,Include,Operator fusion
[2/N][Pangu][MoE] Remove Pangu Related Code (#5130),5130,[2/N][Pangu][MoE] Remove Pangu Related Code,Highlights,Include,Model support
[Bugfix] install trition for test_custom_op (#5112),5112,[Bugfix] install trition for test_custom_op,Ignore,Ignore,Internal/CI/test change
support basic long_seq feature st (#5140),5140,support basic long_seq feature st,Features,Include,New feature
【Doc】Deepseekv3.1/R1 doc enhancement (#4827),4827,【Doc】Deepseekv3.1/R1 doc enhancement,Others,Include,Miscellaneous
[BugFix]Fix precision issue for LoRA feature (#4141),4141,[BugFix]Fix precision issue for LoRA feature,Others,Include,Bug fix
[refactor] refactor weight trans nz and transpose (#4878),4878,[refactor] refactor weight trans nz and transpose,Ignore,Ignore,Internal/CI/test change
[Image] Refactor image build (#5175),5175,[Image] Refactor image build,Others,Include,Miscellaneous
[Doc] Add a perf tune section (#5127),5127,[Doc] Add a perf tune section,Documentation,Include,Documentation update
Add Qwen3-VL-235B-A22B-Instruct tutorials (#5167),5167,Add Qwen3-VL-235B-A22B-Instruct tutorials,Documentation,Include,Model tutorial
[Refactor] remove some metadata variables in attention_v1. (#5160),5160,[Refactor] remove some metadata variables in attention_v1.,Ignore,Ignore,Internal/CI/test change
[CI] Improve CI (#5078),5078,[CI] Improve CI,Ignore,Ignore,Internal/CI/test change
[Feature] Add token mask for DispatchGmmCombineDecode operator (#5171),5171,[Feature] Add token mask for DispatchGmmCombineDecode operator,Hardware and Operator Support,Include,Operator/hardware support
[pref] qwen3_next add triton ops : fused_sigmoid_gating_delta_rule_update (#4818),4818,[pref] qwen3_next add triton ops : fused_sigmoid_gating_delta_rule_update,Performance,Include,Operator fusion
[Doc]Add the user_guide doc file regarding fine-grained TP. (#5084),5084,[Doc]Add the user_guide doc file regarding fine-grained TP.,Documentation,Include,Documentation update
restore matmul_allreduce_add_rmsnrom aclnn interface (#5119),5119,restore matmul_allreduce_add_rmsnrom aclnn interface,Others,Include,Miscellaneous
[CI] Fix image merge bug (#5197),5197,[CI] Fix image merge bug,Ignore,Ignore,Internal/CI/test change
[CI] Use offline mode for nightly test (#5187),5187,[CI] Use offline mode for nightly test,Others,Include,Miscellaneous
Drop 0.12.0 support (#5146),5146,Drop 0.12.0 support,Features,Include,New feature
[CI] unblock CI on suffix spec decoding (#4813),4813,[CI] unblock CI on suffix spec decoding,Ignore,Ignore,Internal/CI/test change
[e2e] add pcp e2e (#5141),5141,[e2e] add pcp e2e,Highlights,Include,Major feature
[CI] fix lint (#5216),5216,[CI] fix lint,Ignore,Ignore,Internal/CI/test change
[lint]clean code (#5218),5218,[lint]clean code,Ignore,Ignore,Internal/CI/test change
[Fix] Delete pooling redundant code (#4940),4940,[Fix] Delete pooling redundant code,Highlights,Include,Major feature
[Performance] Add async exponential while model executing (#4501),4501,[Performance] Add async exponential while model executing,Performance,Include,Performance optimization
"[BugFix]Fix wrong _cos, _sin instantiation (#5154)",5154,"[BugFix]Fix wrong _cos, _sin instantiation",Others,Include,Bug fix
[Feature]Use DispatchGmmCombineDecode operator to replace MC2(Optional) (#5040),5040,[Feature]Use DispatchGmmCombineDecode operator to replace MC2(Optional),Hardware and Operator Support,Include,Operator/hardware support
[Perf] vectorize PCP/DCP loops in attention_cp.py (#4944),4944,[Perf] vectorize PCP/DCP loops in attention_cp.py,Highlights,Include,Major feature
[Perf] vectorize PCP/DCP loops in mla_v1.py (#5003),5003,[Perf] vectorize PCP/DCP loops in mla_v1.py,Highlights,Include,Major feature
[Misc] Cleanup useless print and logger (#5220),5220,[Misc] Cleanup useless print and logger,Ignore,Ignore,Internal/CI/test change
[Doc] Fix DeepSeek-V3.2 tutorial. (#5190),5190,[Doc] Fix DeepSeek-V3.2 tutorial.,Documentation,Include,Model tutorial
[bugfix][ACLGraph][MTP] deletes `cudagraph_batch_sizes` in `MtpProposer` (#5183),5183,[bugfix][ACLGraph][MTP] deletes `cudagraph_batch_sizes` in `MtpProposer`,Highlights,Include,Major feature
[task] Add fused gdn gating triton kernel (#4304),4304,[task] Add fused gdn gating triton kernel,Performance,Include,Operator fusion
[CustomOp] Register AscendMMEncoderAttention CustomOp and remove related patch (#4750),4750,[CustomOp] Register AscendMMEncoderAttention CustomOp and remove related patch,Others,Include,Miscellaneous
[misc][FlashComm1][ACLGraph] Incompatibility between Flashcomm1 and FULL_DECODE_ONLY. (#5200),5200,[misc][FlashComm1][ACLGraph] Incompatibility between Flashcomm1 and FULL_DECODE_ONLY.,Highlights,Include,Major feature
Bump actions/upload-artifact from 4 to 6 (#5233),5233,Bump actions/upload-artifact from 4 to 6,Ignore,Ignore,Internal/CI/test change
Bump actions/checkout from 4 to 6 (#5234),5234,Bump actions/checkout from 4 to 6,Ignore,Ignore,Internal/CI/test change
[Doc] Update readme (#5226),5226,[Doc] Update readme,Documentation,Include,Documentation update
[1/N][Eagle3] Aligns auxiliary hidden state usage for eagle3 models (#5162),5162,[1/N][Eagle3] Aligns auxiliary hidden state usage for eagle3 models,Highlights,Include,Major feature
[Triton]support swiglu_quant triton in w4a8 (#5161),5161,[Triton]support swiglu_quant triton in w4a8,Hardware and Operator Support,Include,Operator/hardware support
[feature] support pcp + mtp in full graph (#4572),4572,[feature] support pcp + mtp in full graph,Highlights,Include,Major feature
[Feat]Xlite Qwen3-vl Support (#5228),5228,[Feat]Xlite Qwen3-vl Support,Highlights,Include,Major feature
[bugfix] fix w8a8dynamic fused_moe trans nz (#5199),5199,[bugfix] fix w8a8dynamic fused_moe trans nz,Performance,Include,Operator fusion
[Bugfix] Implement multimodal_cpu_fields in model runner (#5196),5196,[Bugfix] Implement multimodal_cpu_fields in model runner,Features,Include,New feature
[TEST]Update mm param --mm-processor-cache-gb (#5242),5242,[TEST]Update mm param --mm-processor-cache-gb,Others,Include,Miscellaneous
[Bugfix] Use hf_text_config instead of hf_config to support multimodal PD-Disaggregated (#5205),5205,[Bugfix] Use hf_text_config instead of hf_config to support multimodal PD-Disaggregated,Features,Include,New feature
[Refactor] move the metadata from attention_v1 to util(ready for extract common_cp) & realize Ascendmetadata inherit from the parent class. (#5203),5203,[Refactor] move the metadata from attention_v1 to util(ready for extract common_cp) & realize Ascendmetadata inherit from the parent class.,Ignore,Ignore,Internal/CI/test change
[refactor] Remove unnecessary attributes from set_ascend_forward_context (#5204),5204,[refactor] Remove unnecessary attributes from set_ascend_forward_context,Ignore,Ignore,Internal/CI/test change
[Doc] Update the weight download URL. (#5238),5238,[Doc] Update the weight download URL.,Documentation,Include,Documentation update
